"year","BRA","USA","ratio"
1882,0.0387922267033957,0.0332353325476612,1.16719839188507
1883,0.0375174625193073,0.0322979396231278,1.16160544471518
1884,0.0387089595268081,0.0322823900034884,1.19907353583874
1885,0.0422025660931332,0.0320218045527097,1.31793216162023
1886,0.0423512499338137,0.0319588299869293,1.32518148978341
1887,0.0433038997782531,0.0312356296111588,1.38636231500142
1888,0.0425896473690129,0.0321784639653725,1.32354507085372
1889,0.0426372195661703,0.0325736328565984,1.30894885915476
1890,0.0453032082212374,0.0328201945627834,1.38034551058418
1891,0.0459619462390305,0.0321549011344831,1.42939162048117
1892,0.0533653043464319,0.0335804727978718,1.58917668216434
1893,0.0591560028247646,0.0366399683778132,1.61452112116411
1894,0.0592790186454689,0.0376087627656263,1.57620230728911
1895,0.0660922637354542,0.0392708771415789,1.68298414871608
1896,0.0692543616712004,0.0409702840609439,1.69035590693449
1897,0.0676168768003668,0.0425813017639453,1.58794762018337
1898,0.0679113047586793,0.0427347126174661,1.5891368070397
1899,0.0679595531218871,0.0439202101782201,1.5473412546552
1900,0.0668603179005976,0.0431311782508586,1.5501621011076
1901,0.0685619631524781,0.044993336750199,1.52382481728641
1902,0.0683351810745638,0.0455375186997015,1.50063470794714
1903,0.0681279058699568,0.0456013040754888,1.49399029811028
1904,0.0679815261541951,0.0456778605548888,1.48828174805834
1905,0.0679532177748701,0.0461703491020307,1.47179345827994
1906,0.069008476302169,0.0473019057678484,1.45889420694493
1907,0.0690916089809876,0.0477154565871691,1.4479922004889
1908,0.0684634923632193,0.0526472870065391,1.30041824101431
1909,0.0694618820197143,0.0531595376423336,1.30666828758116
1910,0.068979035347208,0.0524210668968835,1.31586477404009
1911,0.0707024857706988,0.0523498531188847,1.35057658347457
1912,0.0710386359700197,0.0522023622098398,1.3608318275802
1913,0.0708322907512776,0.0521068413597372,1.35936642680494
1914,0.069978857964636,0.0564462180154383,1.23974396204005
1915,0.0686116279139646,0.0563105181206071,1.21845136936959
1916,0.0681705746023899,0.0590797073264071,1.15387461596174
1917,0.0673157273652325,0.0605711954370257,1.11134883304753
1918,0.0677054055535252,0.0612018287126276,1.1062644201603
1919,0.0704004261139368,0.0611354855502925,1.15154767284906
1920,0.0694189480539134,0.0614442792767723,1.12978700167056
1921,0.0689517567962439,0.0622552857096679,1.10756469929004
1922,0.0629676918070384,0.0615148175258165,1.02361828157276
1923,0.0562114276307603,0.0611972749955045,0.918528278177248
1924,0.0566648074625816,0.0605228011581946,0.936255533091918
1925,0.0483851898709633,0.0583406097961432,0.829356944331458
1926,0.0422576133300517,0.0573052251608402,0.73741291848075
1927,0.042765106334451,0.0563231172310241,0.759281595850577
