"income","n","spearman","median_sigma","median_open"
"High income",53,-0.0886200989424316,10.161009236957,92.271803043058
"Low income",18,0.149906973211721,13.7418942684747,49.6025668143023
"Lower middle income",38,0.115946810314444,11.8020765493638,67.5795554325719
"Upper middle income",41,-0.276667102488142,13.4319689174896,78.1042745512763
