"region","year","interest","tb","debt"
"Emerging Market and Developing Economies",1997,4.54113420293695,-0.576490244736689,30.2849513749988
"Emerging Market and Developing Economies",1998,4.79725605002266,-0.838298719143726,34.0766697009006
"Emerging Market and Developing Economies",1999,5.27808910792017,0.513867286199992,36.159752275486
"Emerging Market and Developing Economies",2000,5.35249813787054,1.76163131359448,32.3654826906592
"Emerging Market and Developing Economies",2001,5.08603473462914,1.23193750768482,32.7497907061638
"Emerging Market and Developing Economies",2002,4.34163602911352,1.71612860588107,34.0864787902443
"Emerging Market and Developing Economies",2003,3.96328680522294,2.14502613051917,34.54474641975
"Emerging Market and Developing Economies",2004,3.93744495495591,2.6567225845602,31.1652890520745
"Emerging Market and Developing Economies",2005,4.31092769524984,3.99125679508191,27.1277398039089
"Emerging Market and Developing Economies",2006,4.38148331138706,4.54454559360845,25.7612557961935
"Emerging Market and Developing Economies",2007,4.0624150378044,3.50656449860728,25.990278006556
"Emerging Market and Developing Economies",2008,4.07537655853628,3.29991786005706,23.4117224341324
"Emerging Market and Developing Economies",2009,3.41077782205607,1.54748678331887,26.4281866697503
"Emerging Market and Developing Economies",2010,3.02659911959776,1.89375558271755,25.2684229357445
"Emerging Market and Developing Economies",2011,3.11585984153671,2.34077278568476,24.3263336047549
"Emerging Market and Developing Economies",2012,3.19850765904192,1.97308831317246,25.4474216183155
"Emerging Market and Developing Economies",2013,3.16675608341343,1.67206486622055,26.7310716826554
"Emerging Market and Developing Economies",2014,3.32165136754426,1.15039129700412,27.2866414768569
"Emerging Market and Developing Economies",2015,3.4971709120139,0.394523172331062,27.6590071443715
"Emerging Market and Developing Economies",2016,3.40417900387849,0.303165749137619,28.5795180980094
"Emerging Market and Developing Economies",2017,3.25659282202371,0.459669470760136,29.0147687992828
"Emerging Market and Developing Economies",2018,3.65688639733506,0.557220229010018,28.439028885982
"Emerging Market and Developing Economies",2019,3.69780781757871,0.569930998080639,29.3057330867927
"Emerging Market and Developing Economies",2020,3.2696081806144,0.95138832746435,32.5490133081334
"Emerging Market and Developing Economies",2021,3.09543455701443,1.5074482202719,29.5824596779028
"Emerging Market and Developing Economies",2022,3.61061303483762,2.14984912750094,26.9542664613059
