Country Name,Country Code,Counterpart-Area Name,Counterpart-Area Code,Series Name,Series Code,1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
IDA only,IDX,World,WLD,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,6041022145.5,7821809656.7,9163366768.8,11780919343.9,15800386652,19307316463.1,22673075949.7,30475403409.2,37409767721.5,42743644604.1,52095995991.9,60926262862.8,69414063884.3,78533143421,83824435856.1,100388130269.5,112155562926,134055409895.2,139233076686.6,144073926403.7,158327231755.3,167210808032.9,170740901796.9,177028390132.7,190664970712.1,195907817823.3,190207398011,185733390761.8,198517030549.9,194415148081.6,188778332141.2,181576352248.5,193062960836.1,204908256615.9,209727337056.7,187579670964.2,162168408745.6,180119508103.7,195852581189.3,221143393907.5,234412757790,255133539357.6,291917227163.9,335980361418,367224411320.2,394894374177.5,422566610628.9,473084632840.9,509148709898.8,543176859033.2,603448971743.2,657545225152.2,671469810623.4,703444729690.3,710055723463.4,..
IDA only,IDX,World,WLD,Average interest on new external debt commitments (%),DT.INR.DPPG,3.55342272294614,4.2699860439311,3.04814570318999,4.69161671604438,4.2178911211309,3.85751443066576,3.82839275880437,3.98124842062735,4.07166994185232,4.11010653660588,4.32490995709963,3.8417905305055,4.01958487004948,3.02871719334799,3.88748272166397,2.98248998088306,2.9746646458152,2.50056352483574,2.56457072084397,2.3499068305728,2.56753783199687,2.15015792055991,2.26157698657797,2.17157200848998,2.19589246531006,2.25896702747286,2.46128882561651,2.83750690482333,2.0894756518776,1.78138627218739,1.77898205812812,1.45536272210868,1.64609377760317,1.56894380384637,1.38374204215017,1.72538226346047,2.43067633201447,2.93607587165262,2.19063854162845,2.42093718308855,2.31431127712636,1.80283918244514,1.91209047347413,2.54919625026729,2.38963005474483,2.34219918000463,2.20368036377696,2.27131719989685,2.72647367959723,3.03016947431751,2.16637524919705,2.25770127657824,1.75188958767358,2.48357565018278,3.01359157147918,..
IDA total,IDA,World,WLD,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,11912202204.1,14620716593.7,16641505221.5,21136582481.6,26442754041.9,31113881217.8,35940736650.6,48233900439.8,60529071809.6,70266336654.4,87987021410.4,101550565759.2,114444843617.9,130495009190.5,135904927976.7,158050005487.8,178691901875.8,214489031846.3,220083365369.8,229165869452.3,255346426231.8,268790243356.3,271593740578.1,281173869428.5,300311726711.4,314181943774.8,305487324939.1,294355910147.7,311663346413.5,307616610470.5,302389583208.7,294218806545.3,311393935832.5,334574034260.1,346025453389.2,303209532050.9,263124861052.6,288674599454.2,312717376925.5,353404962958.9,380781590559,418866013240,464234017173.5,521239444605.8,566633771763.6,607539976386.1,645303566168.5,747175720021.301,804916651176.9,879303821637.7,976901307306.1,1072644422982.8,1100666730442.7,1146283569843.2,1169119409283.6,..
IDA total,IDA,World,WLD,Average interest on new external debt commitments (%),DT.INR.DPPG,3.40632947479593,4.2256464325677,3.50124771857804,4.65490173897644,4.14830558295506,4.38613322532321,4.44934969410322,4.82749038958699,5.31498810869516,5.97719787062038,5.80355884033806,6.68639975600755,6.274282164083,5.38863692030352,4.72998009628665,4.40728062991029,4.26224673814507,3.60223277850248,3.74309964365406,3.79706017426968,3.982846358727,3.56653891577646,3.26275709219463,3.08713399019592,3.09797360361306,3.21105971004695,3.0754254036112,3.70097929962434,2.92484262198247,2.57319722093718,2.66415496975244,2.04853437802637,1.93771780438237,1.80099780887864,1.6411444746347,1.85001227108314,2.90747908098603,2.85430147686916,2.12986631132651,2.15201736165668,2.13119403171244,1.93861221520893,1.8764918115541,2.3545225880874,2.73449860412304,2.47394340670476,2.30548087222313,2.99920808439398,3.35992184424971,3.2308131092505,2.09537127021734,2.71432174253544,2.2995862250992,3.41533639107144,4.16906975973252,..
India,IND,World,WLD,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,8425121119.4,9328742281.7,10029268976.8,10965917520.3,12696953185.8,13865614018.8,14586390285.7,15414657569.6,16520249175.3,18190384895.1,20723360696.4,22480074709.1,26942860601.2,30649492455,32763961315.2,38934813159.4,44909442697.3,53424896488.5,59288500301.3,73721064976,83471522909.2,84852336186.3,87775440181.5,91330328767.5,97898626998.8,93808975940.1,93966076365.7,94059291709,98333648294.5,99779510346.3,101131491179.6,99500093585.5,105741601402,118884622369.5,123644485822.1,121195478444.5,159525518911.4,204057539299.5,227111768434.6,256312241333.4,290427544563.2,334399298473.1,392576050359.7,427245079805.9,457507409077.4,478831010025.1,455541896498.9,511575707373.6,521175685410,561017395481.3,564979321177.1,611987174447.7,615514904164.5,647556415555.5,716456023890.4,..
India,IND,World,WLD,Average interest on new external debt commitments (%),DT.INR.DPPG,2.3992,2.0993,1.6388,1.9611,2.1836,2.5426,3.9873,3.0324,1.9129,4.0098,5.4184,4.9914,7.071,6.9014,6.9153,5.992,6.1494,5.7016,6.2737,5.7981,5.3622,5.8442,4.9666,5.9282,3.9053,3.8887,4.6209,5.0964,3.2712,3.8768,4.6956,3.5429,2.2724,1.9078,2.3686,3.129,3.3651,4.5266,2.4256,1.4209,1.4201,1.6212,2.5675,1.8188,2.2764,1.8845,1.807,1.9214,2.7005,3.1456,1.4265,1.2923,1.788,4.2293,3.9712,..
Indonesia,IDN,World,WLD,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,3432691278.3,4682274735.4,5814543795.7,7270793342,9100920877.2,11497812015.2,14010058797.7,16470538470.3,18045712413.7,18623748316.7,20937697366.2,22761139319.3,25133280486.7,30229383588.6,32025253802.3,36714642568.2,42914295378.8,52526347016.8,54053879424.8,59380152209.8,69848505848.5,79528197362.6,87987351692.3,89157126589.4,107819781286.8,124399503875.8,129003514948,136339703441,151484839252.8,151806502424.2,144048996549.8,132710089751.5,128444200507.9,134372632167.3,138041813871.8,142131795440.2,135970010956.9,147827337604.3,157916194612.4,179404705351,198278352695.5,219629383247.4,252623033564.3,263643864629.2,292565412570.1,307849578357.8,319052612588.1,353688908559.2,379851596756.2,402379692152.7,417036407016.7,417845089193.8,395986001909.7,399613483613.1,421059208493.8,..
Indonesia,IDN,World,WLD,Average interest on new external debt commitments (%),DT.INR.DPPG,2.636,3.0445,4.7834,3.7995,6.4487,8.2854,7.3676,6.0306,7.6116,6.7542,8.0647,8.8638,9.0182,8.6581,8.9782,7.1888,6.7214,5.757,5.2725,6.0402,5.9455,6.0088,5.8134,5.4794,5.2242,5.6617,5.5046,5.5025,4.375,3.6238,4.1596,3.8425,3.2645,2.7596,3.4441,5.4826,5.6663,4.4186,4.3259,4.3385,4.4287,3.6276,4.1616,3.9157,3.9023,3.7342,3.6071,4.3611,4.253,4.6128,2.9263,2.4305,2.9969,4.7678,5.2015,..
"Iran, Islamic Rep.",IRN,World,WLD,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,..,..,..,..,..,..,..,..,..,..,4618942613.2,3969211554.7,8269750070.8,7078085808,5159730090,6025227842,5793964260.5,6150722410.1,5843049165.3,6526858378.8,9026182538.2,11368427701.3,16074665445.3,23392435930.4,21792481976.9,21681652185.7,16684178793.1,11697339746.3,12341638353.4,9742304899.9,8800053478.5,8280878565,8934505230.4,14235372770.8,20950347846.7,21393520935.6,20494226261.2,20834072180.2,16026650174.6,18609984963.8,19768742370.1,17260291984,7481954468.2,7013042464.9,5817911004,6455859301,6058410415.5,6819093933.4,5773699803.6,4855393068.1,5433188395.8,10348874166.9,9459955524.4,9900872535.1,9654298895.5,..
"Iran, Islamic Rep.",IRN,World,WLD,Average interest on new external debt commitments (%),DT.INR.DPPG,..,0,0,0,0,0,0,0,0,0,0,2,2.0205,2.1063,7,7,7,0,11.765,8.6112,8.3041,7.3331,5.3759,4.5839,6.3481,6.5549,5.9501,6.6176,5.7483,6.312,6.0264,4.571,4.0808,2.2843,3.7707,4.6961,6.0133,0,5.5949,4.3254,2.8455,3.6843,5.5259,2.9252,0,5.5144,0,0,0.0401,0.0401,0.5199,0.0013,0.4799,0,0,..
